entity_id,entity_name,state_code,state_ut,district,entity_type,risk_profile
AGENCY_0027,Bhavnagar Municipal Corporation Infrastructure Cell,GJ,Gujarat,Bhavnagar,Implementing Agency,medium
AGENCY_0028,Gandhinagar State Water Supply & Sanitation Board (WSSB),GJ,Gujarat,Gandhinagar,Implementing Agency,low
AGENCY_0029,Bikaner Public Works Department (PWD),RJ,Rajasthan,Bikaner,Implementing Agency,mixed
AGENCY_0030,Udaipur District Rural Development Agency (DRDA),RJ,Rajasthan,Udaipur,Implementing Agency,high
AGENCY_0031,Udaipur Municipal Corporation Infrastructure Cell,RJ,Rajasthan,Udaipur,Implementing Agency,medium
AGENCY_0032,Kota State Water Supply & Sanitation Board (WSSB),RJ,Rajasthan,Kota,Implementing Agency,low
AGENCY_0033,Kollam Public Works Department (PWD),KL,Kerala,Kollam,Implementing Agency,mixed
AGENCY_0034,Alappuzha District Rural Development Agency (DRDA),KL,Kerala,Alappuzha,Implementing Agency,high
AGENCY_0035,Alappuzha Municipal Corporation Infrastructure Cell,KL,Kerala,Alappuzha,Implementing Agency,medium
AGENCY_0036,Alappuzha State Water Supply & Sanitation Board (WSSB),KL,Kerala,Alappuzha,Implementing Agency,low
AGENCY_0037,Jalandhar Public Works Department (PWD),PB,Punjab,Jalandhar,Implementing Agency,mixed
AGENCY_0038,Amritsar District Rural Development Agency (DRDA),PB,Punjab,Amritsar,Implementing Agency,high
AGENCY_0039,Patiala Municipal Corporation Infrastructure Cell,PB,Punjab,Patiala,Implementing Agency,medium
AGENCY_0040,Chandigarh State Water Supply & Sanitation Board (WSSB),PB,Punjab,Chandigarh,Implementing Agency,low
AGENCY_0041,Hisar Public Works Department (PWD),HR,Haryana,Hisar,Implementing Agency,mixed
AGENCY_0042,Faridabad District Rural Development Agency (DRDA),HR,Haryana,Faridabad,Implementing Agency,high
AGENCY_0043,Hisar Municipal Corporation Infrastructure Cell,HR,Haryana,Hisar,Implementing Agency,medium
AGENCY_0044,Ambala State Water Supply & Sanitation Board (WSSB),HR,Haryana,Ambala,Implementing Agency,low
AGENCY_0045,East Delhi Public Works Department (PWD),DL,Delhi,East Delhi,Implementing Agency,mixed
AGENCY_0046,Central Delhi District Rural Development Agency (DRDA),DL,Delhi,Central Delhi,Implementing Agency,high
AGENCY_0047,New Delhi Municipal Corporation Infrastructure Cell,DL,Delhi,New Delhi,Implementing Agency,medium
AGENCY_0048,Central Delhi State Water Supply & Sanitation Board (WSSB),DL,Delhi,Central Delhi,Implementing Agency,low
AGENCY_0049,Gwalior Public Works Department (PWD),MP,Madhya Pradesh,Gwalior,Implementing Agency,mixed
AGENCY_0050,Ujjain District Rural Development Agency (DRDA),MP,Madhya Pradesh,Ujjain,Implementing Agency,high
AGENCY_0051,Sagar Municipal Corporation Infrastructure Cell,MP,Madhya Pradesh,Sagar,Implementing Agency,medium
AGENCY_0052,Gwalior State Water Supply & Sanitation Board (WSSB),MP,Madhya Pradesh,Gwalior,Implementing Agency,low
AGENCY_0053,Tirupati Public Works Department (PWD),AP,Andhra Pradesh,Tirupati,Implementing Agency,mixed
AGENCY_0054,Guntur District Rural Development Agency (DRDA),AP,Andhra Pradesh,Guntur,Implementing Agency,high
AGENCY_0055,Guntur Municipal Corporation Infrastructure Cell,AP,Andhra Pradesh,Guntur,Implementing Agency,medium
AGENCY_0056,Visakhapatnam State Water Supply & Sanitation Board (WSSB),AP,Andhra Pradesh,Visakhapatnam,Implementing Agency,low
AGENCY_0057,Ramagundam Public Works Department (PWD),TS,Telangana,Ramagundam,Implementing Agency,mixed
AGENCY_0058,Ramagundam District Rural Development Agency (DRDA),TS,Telangana,Ramagundam,Implementing Agency,high
AGENCY_0059,Khammam Municipal Corporation Infrastructure Cell,TS,Telangana,Khammam,Implementing Agency,medium
AGENCY_0060,Hyderabad State Water Supply & Sanitation Board (WSSB),TS,Telangana,Hyderabad,Implementing Agency,low
AGENCY_0061,Puri Public Works Department (PWD),OD,Odisha,Puri,Implementing Agency,mixed
AGENCY_0062,Berhampur District Rural Development Agency (DRDA),OD,Odisha,Berhampur,Implementing Agency,high
AGENCY_0063,Puri Municipal Corporation Infrastructure Cell,OD,Odisha,Puri,Implementing Agency,medium
AGENCY_0064,Puri State Water Supply & Sanitation Board (WSSB),OD,Odisha,Puri,Implementing Agency,low
AGENCY_0065,Tezpur Public Works Department (PWD),AS,Assam,Tezpur,Implementing Agency,mixed
AGENCY_0066,Guwahati District Rural Development Agency (DRDA),AS,Assam,Guwahati,Implementing Agency,high
AGENCY_0067,Silchar Municipal Corporation Infrastructure Cell,AS,Assam,Silchar,Implementing Agency,medium
AGENCY_0068,Jorhat State Water Supply & Sanitation Board (WSSB),AS,Assam,Jorhat,Implementing Agency,low
AGENCY_0069,Leh Public Works Department (PWD),JK,Jammu & Kashmir,Leh,Implementing Agency,mixed
AGENCY_0070,Sopore District Rural Development Agency (DRDA),JK,Jammu & Kashmir,Sopore,Implementing Agency,high
AGENCY_0071,Srinagar Municipal Corporation Infrastructure Cell,JK,Jammu & Kashmir,Srinagar,Implementing Agency,medium
AGENCY_0072,Sopore State Water Supply & Sanitation Board (WSSB),JK,Jammu & Kashmir,Sopore,Implementing Agency,low
AGENCY_0073,Dhanbad Public Works Department (PWD),JH,Jharkhand,Dhanbad,Implementing Agency,mixed
AGENCY_0074,Jamshedpur District Rural Development Agency (DRDA),JH,Jharkhand,Jamshedpur,Implementing Agency,high
AGENCY_0075,Hazaribagh Municipal Corporation Infrastructure Cell,JH,Jharkhand,Hazaribagh,Implementing Agency,medium
AGENCY_0076,Ranchi State Water Supply & Sanitation Board (WSSB),JH,Jharkhand,Ranchi,Implementing Agency,low
AGENCY_0077,Rajnandgaon Public Works Department (PWD),CG,Chhattisgarh,Rajnandgaon,Implementing Agency,mixed
AGENCY_0078,Raipur District Rural Development Agency (DRDA),CG,Chhattisgarh,Raipur,Implementing Agency,high
AGENCY_0079,Bhilai Municipal Corporation Infrastructure Cell,CG,Chhattisgarh,Bhilai,Implementing Agency,medium
AGENCY_0080,Durg State Water Supply & Sanitation Board (WSSB),CG,Chhattisgarh,Durg,Implementing Agency,low
AGENCY_0081,Dehradun Public Works Department (PWD),UK,Uttarakhand,Dehradun,Implementing Agency,mixed
AGENCY_0082,Dehradun District Rural Development Agency (DRDA),UK,Uttarakhand,Dehradun,Implementing Agency,high
AGENCY_0083,Dehradun Municipal Corporation Infrastructure Cell,UK,Uttarakhand,Dehradun,Implementing Agency,medium
AGENCY_0084,Haridwar State Water Supply & Sanitation Board (WSSB),UK,Uttarakhand,Haridwar,Implementing Agency,low
AGENCY_0085,Kullu Public Works Department (PWD),HP,Himachal Pradesh,Kullu,Implementing Agency,mixed
AGENCY_0086,Mandi District Rural Development Agency (DRDA),HP,Himachal Pradesh,Mandi,Implementing Agency,high
AGENCY_0087,Kullu Municipal Corporation Infrastructure Cell,HP,Himachal Pradesh,Kullu,Implementing Agency,medium
AGENCY_0088,Manali State Water Supply & Sanitation Board (WSSB),HP,Himachal Pradesh,Manali,Implementing Agency,low
AGENCY_0089,Calangute Public Works Department (PWD),GA,Goa,Calangute,Implementing Agency,mixed
AGENCY_0090,Vasco District Rural Development Agency (DRDA),GA,Goa,Vasco,Implementing Agency,high
AGENCY_0091,Panaji Municipal Corporation Infrastructure Cell,GA,Goa,Panaji,Implementing Agency,medium
AGENCY_0092,Mapusa State Water Supply & Sanitation Board (WSSB),GA,Goa,Mapusa,Implementing Agency,low
AGENCY_0093,Senapati Public Works Department (PWD),MN,Manipur,Senapati,Implementing Agency,mixed
AGENCY_0094,Churachandpur District Rural Development Agency (DRDA),MN,Manipur,Churachandpur,Implementing Agency,high
AGENCY_0095,Thoubal Municipal Corporation Infrastructure Cell,MN,Manipur,Thoubal,Implementing Agency,medium
AGENCY_0096,Bishnupur State Water Supply & Sanitation Board (WSSB),MN,Manipur,Bishnupur,Implementing Agency,low
AGENCY_0097,Serchhip Public Works Department (PWD),MZ,Mizoram,Serchhip,Implementing Agency,mixed
AGENCY_0098,Serchhip District Rural Development Agency (DRDA),MZ,Mizoram,Serchhip,Implementing Agency,high
AGENCY_0099,Lunglei Municipal Corporation Infrastructure Cell,MZ,Mizoram,Lunglei,Implementing Agency,medium
AGENCY_0100,Serchhip State Water Supply & Sanitation Board (WSSB),MZ,Mizoram,Serchhip,Implementing Agency,low
AGENCY_0101,Rangpo Public Works Department (PWD),SK,Sikkim,Rangpo,Implementing Agency,mixed
AGENCY_0102,Namchi District Rural Development Agency (DRDA),SK,Sikkim,Namchi,Implementing Agency,high
AGENCY_0103,Namchi Municipal Corporation Infrastructure Cell,SK,Sikkim,Namchi,Implementing Agency,medium
AGENCY_0104,Namchi State Water Supply & Sanitation Board (WSSB),SK,Sikkim,Namchi,Implementing Agency,low
AGENCY_0105,Zunheboto Public Works Department (PWD),NL,Nagaland,Zunheboto,Implementing Agency,mixed
AGENCY_0106,Kohima District Rural Development Agency (DRDA),NL,Nagaland,Kohima,Implementing Agency,high
AGENCY_0107,Phek Municipal Corporation Infrastructure Cell,NL,Nagaland,Phek,Implementing Agency,medium
AGENCY_0108,Phek State Water Supply & Sanitation Board (WSSB),NL,Nagaland,Phek,Implementing Agency,low
AGENCY_0109,Belonia Public Works Department (PWD),TR,Tripura,Belonia,Implementing Agency,mixed
AGENCY_0110,Khowai District Rural Development Agency (DRDA),TR,Tripura,Khowai,Implementing Agency,high
AGENCY_0111,Belonia Municipal Corporation Infrastructure Cell,TR,Tripura,Belonia,Implementing Agency,medium
AGENCY_0112,Sabroom State Water Supply & Sanitation Board (WSSB),TR,Tripura,Sabroom,Implementing Agency,low
